squad,season_start_year,season_end_year,points,goals_for,goals_against,points_home,goals_for_home,goals_against_home,points_away,goals_for_away,goals_against_away
Manchester City,2021,2022,93,99.0,26.0,47,58.0,15.0,46,41.0,11.0
Crystal Palace,2022,2023,45,40.0,49.0,28,21.0,23.0,17,19.0,26.0
Arsenal,2022,2023,84,88.0,43.0,45,53.0,25.0,39,35.0,18.0
Fulham,2022,2023,52,55.0,53.0,29,31.0,29.0,23,24.0,24.0
Liverpool,2022,2023,67,75.0,47.0,44,46.0,17.0,23,29.0,30.0
Newcastle,2022,2023,71,68.0,33.0,39,36.0,14.0,32,32.0,19.0
Nottingham,2022,2023,38,38.0,68.0,30,27.0,24.0,8,11.0,44.0
Bournemouth,2022,2023,39,37.0,71.0,22,20.0,28.0,17,17.0,43.0
Aston Villa,2022,2023,61,51.0,46.0,38,33.0,21.0,23,18.0,25.0
Tottenham,2022,2023,60,70.0,63.0,37,37.0,25.0,23,33.0,38.0
Southampton,2022,2023,25,36.0,73.0,11,19.0,37.0,14,17.0,36.0
Leeds,2022,2023,31,48.0,78.0,22,26.0,37.0,9,22.0,41.0
Wolves,2022,2023,41,31.0,58.0,30,19.0,20.0,11,12.0,38.0
Everton,2022,2023,36,34.0,57.0,21,16.0,27.0,15,18.0,30.0
Chelsea,2022,2023,44,38.0,47.0,25,20.0,19.0,19,18.0,28.0
Leicester,2022,2023,34,51.0,68.0,19,23.0,27.0,15,28.0,41.0
Brentford,2022,2023,59,58.0,46.0,37,35.0,18.0,22,23.0,28.0
Manchester Utd,2022,2023,75,58.0,43.0,48,36.0,10.0,27,22.0,33.0
Brighton,2022,2023,62,72.0,53.0,34,37.0,21.0,28,35.0,32.0
West Ham,2022,2023,40,42.0,55.0,28,26.0,24.0,12,16.0,31.0
Manchester City,2022,2023,89,94.0,33.0,52,60.0,17.0,37,34.0,16.0
Burnley,2023,2024,23,,,10,,,13,,
Manchester City,2023,2024,73,,,41,,,32,,
Arsenal,2023,2024,74,,,38,,,36,,
Nottingham,2023,2024,30,,,20,,,10,,
Bournemouth,2023,2024,42,,,24,,,18,,
West Ham,2023,2024,48,,,25,,,23,,
Sheffield Utd,2023,2024,16,,,10,,,6,,
Crystal Palace,2023,2024,36,,,19,,,17,,
Brighton,2023,2024,44,,,27,,,17,,
Luton,2023,2024,25,,,15,,,10,,
Everton,2023,2024,38,,,19,,,19,,
Fulham,2023,2024,42,,,28,,,14,,
Newcastle,2023,2024,50,,,36,,,14,,
Aston Villa,2023,2024,66,,,38,,,28,,
Brentford,2023,2024,35,,,21,,,14,,
Tottenham,2023,2024,60,,,36,,,24,,
Chelsea,2023,2024,47,,,28,,,19,,
Liverpool,2023,2024,74,,,42,,,32,,
Manchester Utd,2023,2024,50,,,26,,,24,,
Wolves,2023,2024,43,,,24,,,19,,
Mallorca,2019,2020,33,40.0,65.0,27,25.0,22.0,6,15.0,43.0
Celta Vigo,2019,2020,37,37.0,49.0,23,22.0,20.0,14,15.0,29.0
Leganes,2019,2020,36,30.0,51.0,20,17.0,26.0,16,13.0,25.0
Sevilla,2019,2020,70,54.0,34.0,37,26.0,14.0,33,28.0,20.0
