time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2024-03-03 00:00:00,Reims,0,Lille,1,2023,2024,2024,FRA,6,3,3,0,0
2024-03-03 04:00:00,Clermont,1,Marseille,5,2023,2024,2024,FRA,6,3,3,4,0
2024-03-03 20:00:00,Toulouse,2,Nice,1,2023,2024,2024,FRA,6,3,3,20,0
2024-03-03 22:00:00,Nantes,0,Metz,2,2023,2024,2024,FRA,6,3,3,22,0
2024-03-03 22:00:00,Montpellier,2,Strasbourg,2,2023,2024,2024,FRA,6,3,3,22,0
2024-03-03 22:00:00,Brest,1,Le Havre,0,2023,2024,2024,FRA,6,3,3,22,0
2024-03-04 00:05:00,Rennes,1,Lorient,2,2023,2024,2024,FRA,0,3,4,0,5
2024-03-04 03:45:00,Lyon,0,Lens,3,2023,2024,2024,FRA,0,3,4,3,45
2024-03-09 04:00:00,Nice,1,Montpellier,2,2023,2024,2024,FRA,5,3,9,4,0
2024-03-10 00:00:00,Lorient,0,Lyon,2,2023,2024,2024,FRA,6,3,10,0,0
2024-03-10 04:00:00,Lens,1,Brest,0,2023,2024,2024,FRA,6,3,10,4,0
2024-03-10 20:00:00,PSG,2,Reims,2,2023,2024,2024,FRA,6,3,10,20,0
2024-03-10 22:00:00,Le Havre,1,Toulouse,0,2023,2024,2024,FRA,6,3,10,22,0
2024-03-10 22:00:00,Metz,1,Clermont,0,2023,2024,2024,FRA,6,3,10,22,0
2024-03-10 22:00:00,Strasbourg,0,Monaco,1,2023,2024,2024,FRA,6,3,10,22,0
2024-03-11 00:05:00,Lille,2,Rennes,2,2023,2024,2024,FRA,0,3,11,0,5
2024-03-11 03:45:00,Marseille,2,Nantes,0,2023,2024,2024,FRA,0,3,11,3,45
2024-03-16 04:00:00,Toulouse,2,Lyon,3,2023,2024,2024,FRA,5,3,16,4,0
2024-03-17 00:00:00,Nantes,1,Strasbourg,3,2023,2024,2024,FRA,6,3,17,0,0
2024-03-17 04:00:00,Lens,1,Nice,3,2023,2024,2024,FRA,6,3,17,4,0
2024-03-17 20:00:00,Brest,1,Lille,1,2023,2024,2024,FRA,6,3,17,20,0
2024-03-17 22:00:00,Clermont,2,Le Havre,1,2023,2024,2024,FRA,6,3,17,22,0
2024-03-17 22:00:00,Monaco,2,Lorient,2,2023,2024,2024,FRA,6,3,17,22,0
2024-03-17 22:00:00,Reims,2,Metz,1,2023,2024,2024,FRA,6,3,17,22,0
2024-03-18 00:05:00,Rennes,2,Marseille,0,2023,2024,2024,FRA,0,3,18,0,5
2024-03-18 03:45:00,Montpellier,2,PSG,6,2023,2024,2024,FRA,0,3,18,3,45
2024-03-30 04:00:00,Lille,2,Lens,1,2023,2024,2024,FRA,5,3,30,4,0
2024-03-31 00:00:00,Metz,2,Monaco,5,2023,2024,2024,FRA,6,3,31,0,0
2024-03-31 04:00:00,Lyon,1,Reims,1,2023,2024,2024,FRA,6,3,31,4,0
2024-03-31 19:00:00,Lorient,0,Brest,1,2023,2024,2024,FRA,6,3,31,19,0
2024-03-31 21:00:00,Clermont,0,Toulouse,3,2023,2024,2024,FRA,6,3,31,21,0
2024-03-31 21:00:00,Nice,1,Nantes,2,2023,2024,2024,FRA,6,3,31,21,0
2024-03-31 21:00:00,Le Havre,0,Montpellier,2,2023,2024,2024,FRA,6,3,31,21,0
2024-03-31 23:05:00,Strasbourg,2,Rennes,0,2023,2024,2024,FRA,6,3,31,23,5
2024-04-01 02:45:00,Marseille,0,PSG,2,2023,2024,2024,FRA,0,4,1,2,45
2024-04-06 03:00:00,Lille,3,Marseille,1,2023,2024,2024,FRA,5,4,6,3,0
2024-04-06 23:00:00,Lens,1,Le Havre,1,2023,2024,2024,FRA,5,4,6,23,0
2024-04-07 03:00:00,PSG,1,Clermont,1,2023,2024,2024,FRA,6,4,7,3,0
2024-04-07 19:00:00,Brest,4,Metz,3,2023,2024,2024,FRA,6,4,7,19,0
2024-04-07 21:00:00,Reims,0,Nice,0,2023,2024,2024,FRA,6,4,7,21,0
2024-04-07 21:00:00,Toulouse,0,Strasbourg,0,2023,2024,2024,FRA,6,4,7,21,0
2024-04-07 21:00:00,Montpellier,2,Lorient,0,2023,2024,2024,FRA,6,4,7,21,0
2024-04-07 23:05:00,Monaco,1,Rennes,0,2023,2024,2024,FRA,6,4,7,23,5
2024-04-08 02:45:00,Nantes,1,Lyon,3,2023,2024,2024,FRA,0,4,8,2,45
2024-04-13 03:00:00,Metz,2,Lens,1,2023,2024,2024,FRA,5,4,13,3,0
2024-04-13 23:00:00,Strasbourg,3,Reims,1,2023,2024,2024,FRA,5,4,13,23,0
2024-04-14 03:00:00,Rennes,1,Toulouse,2,2023,2024,2024,FRA,6,4,14,3,0
2024-04-14 19:00:00,Le Havre,0,Nantes,1,2023,2024,2024,FRA,6,4,14,19,0
2024-04-14 21:00:00,Clermont,1,Montpellier,1,2023,2024,2024,FRA,6,4,14,21,0
2024-04-15 02:45:00,Lyon,4,Brest,3,2023,2024,2024,FRA,0,4,15,2,45
2024-04-20 03:00:00,Nice,,Lorient,,2023,2024,2024,FRA,5,4,20,3,0
2024-04-20 23:00:00,Nantes,,Rennes,,2023,2024,2024,FRA,5,4,20,23,0
2024-04-21 03:00:00,Lens,,Clermont,,2023,2024,2024,FRA,6,4,21,3,0
2024-04-21 21:00:00,Le Havre,,Metz,,2023,2024,2024,FRA,6,4,21,21,0
2024-04-21 21:00:00,Lille,,Strasbourg,,2023,2024,2024,FRA,6,4,21,21,0
2024-04-21 21:00:00,Reims,,Montpellier,,2023,2024,2024,FRA,6,4,21,21,0
2024-04-21 23:05:00,Brest,,Monaco,,2023,2024,2024,FRA,6,4,21,23,5
2024-04-22 01:00:00,Toulouse,,Marseille,,2023,2024,2024,FRA,0,4,22,1,0
2024-04-22 03:00:00,PSG,,Lyon,,2023,2024,2024,FRA,0,4,22,3,0
2024-04-25 01:00:00,Lorient,,PSG,,2023,2024,2024,FRA,3,4,25,1,0
2024-04-25 01:00:00,Monaco,,Lille,,2023,2024,2024,FRA,3,4,25,1,0
2024-04-25 03:00:00,Marseille,,Nice,,2023,2024,2024,FRA,3,4,25,3,0
2024-04-27 03:00:00,Montpellier,,Nantes,,2023,2024,2024,FRA,5,4,27,3,0
2024-04-28 03:00:00,PSG,,Le Havre,,2023,2024,2024,FRA,6,4,28,3,0
2024-04-28 19:00:00,Metz,,Lille,,2023,2024,2024,FRA,6,4,28,19,0
2024-04-28 21:00:00,Clermont,,Reims,,2023,2024,2024,FRA,6,4,28,21,0
2024-04-28 21:00:00,Lorient,,Toulouse,,2023,2024,2024,FRA,6,4,28,21,0
2024-04-28 21:00:00,Strasbourg,,Nice,,2023,2024,2024,FRA,6,4,28,21,0
2024-04-28 23:05:00,Rennes,,Brest,,2023,2024,2024,FRA,6,4,28,23,5
2024-04-29 01:00:00,Lyon,,Monaco,,2023,2024,2024,FRA,0,4,29,1,0
