time,home_team,home_score,away_team,away_score,season_start_year,season_end_year,year,country,weekday,month,day,hour,minute
2021-01-17 22:00:00,Crotone,4,Benevento,1,2020,2021,2021,ITA,6,1,17,22,0
2021-01-18 01:00:00,Atalanta,0,Genoa,0,2020,2021,2021,ITA,0,1,18,1,0
2021-01-18 03:45:00,Inter,2,Juventus,0,2020,2021,2021,ITA,0,1,18,3,45
2021-01-19 03:45:00,Cagliari,0,AC Milan,2,2020,2021,2021,ITA,1,1,19,3,45
2021-01-20 22:00:00,Udinese,1,Atalanta,1,2020,2021,2021,ITA,2,1,20,22,0
2021-01-23 03:45:00,Benevento,2,Torino,2,2020,2021,2021,ITA,5,1,23,3,45
2021-01-23 22:00:00,AS Roma,4,Spezia,3,2020,2021,2021,ITA,5,1,23,22,0
2021-01-24 01:00:00,Udinese,0,Inter,0,2020,2021,2021,ITA,6,1,24,1,0
2021-01-24 01:00:00,AC Milan,0,Atalanta,3,2020,2021,2021,ITA,6,1,24,1,0
2021-01-24 03:45:00,Fiorentina,2,Crotone,1,2020,2021,2021,ITA,6,1,24,3,45
2021-01-24 19:30:00,Juventus,2,Bologna,0,2020,2021,2021,ITA,6,1,24,19,30
2021-01-24 22:00:00,Verona,3,Napoli,1,2020,2021,2021,ITA,6,1,24,22,0
2021-01-24 22:00:00,Genoa,1,Cagliari,0,2020,2021,2021,ITA,6,1,24,22,0
2021-01-25 01:00:00,Lazio,2,Sassuolo,1,2020,2021,2021,ITA,0,1,25,1,0
2021-01-25 03:45:00,Parma,0,Sampdoria,2,2020,2021,2021,ITA,0,1,25,3,45
2021-01-30 03:45:00,Torino,1,Fiorentina,1,2020,2021,2021,ITA,5,1,30,3,45
2021-01-30 22:00:00,Bologna,1,AC Milan,2,2020,2021,2021,ITA,5,1,30,22,0
2021-01-31 01:00:00,Sampdoria,0,Juventus,2,2020,2021,2021,ITA,6,1,31,1,0
2021-01-31 03:45:00,Inter,4,Benevento,0,2020,2021,2021,ITA,6,1,31,3,45
2021-01-31 19:30:00,Spezia,0,Udinese,1,2020,2021,2021,ITA,6,1,31,19,30
2021-01-31 22:00:00,Atalanta,1,Lazio,3,2020,2021,2021,ITA,6,1,31,22,0
2021-01-31 22:00:00,Crotone,0,Genoa,3,2020,2021,2021,ITA,6,1,31,22,0
2021-01-31 22:00:00,Cagliari,1,Sassuolo,1,2020,2021,2021,ITA,6,1,31,22,0
2021-02-01 01:00:00,Napoli,2,Parma,0,2020,2021,2021,ITA,0,2,1,1,0
2021-02-01 03:45:00,AS Roma,3,Verona,1,2020,2021,2021,ITA,0,2,1,3,45
2021-02-06 03:45:00,Fiorentina,0,Inter,2,2020,2021,2021,ITA,5,2,6,3,45
2021-02-06 22:00:00,Sassuolo,1,Spezia,2,2020,2021,2021,ITA,5,2,6,22,0
2021-02-06 22:00:00,Atalanta,3,Torino,3,2020,2021,2021,ITA,5,2,6,22,0
2021-02-07 01:00:00,Juventus,2,AS Roma,0,2020,2021,2021,ITA,6,2,7,1,0
2021-02-07 03:45:00,Genoa,2,Napoli,1,2020,2021,2021,ITA,6,2,7,3,45
2021-02-07 19:30:00,Benevento,1,Sampdoria,1,2020,2021,2021,ITA,6,2,7,19,30
2021-02-07 22:00:00,AC Milan,4,Crotone,0,2020,2021,2021,ITA,6,2,7,22,0
2021-02-07 22:00:00,Udinese,2,Verona,0,2020,2021,2021,ITA,6,2,7,22,0
2021-02-08 01:00:00,Parma,0,Bologna,3,2020,2021,2021,ITA,0,2,8,1,0
2021-02-08 03:45:00,Lazio,1,Cagliari,0,2020,2021,2021,ITA,0,2,8,3,45
2021-02-13 03:45:00,Bologna,1,Benevento,1,2020,2021,2021,ITA,5,2,13,3,45
2021-02-13 22:00:00,Torino,0,Genoa,0,2020,2021,2021,ITA,5,2,13,22,0
2021-02-14 01:00:00,Napoli,1,Juventus,0,2020,2021,2021,ITA,6,2,14,1,0
2021-02-14 03:45:00,Spezia,2,AC Milan,0,2020,2021,2021,ITA,6,2,14,3,45
2021-02-14 19:30:00,AS Roma,3,Udinese,0,2020,2021,2021,ITA,6,2,14,19,30
2021-02-14 22:00:00,Sampdoria,2,Fiorentina,1,2020,2021,2021,ITA,6,2,14,22,0
2021-02-14 22:00:00,Cagliari,0,Atalanta,1,2020,2021,2021,ITA,6,2,14,22,0
2021-02-15 01:00:00,Crotone,1,Sassuolo,2,2020,2021,2021,ITA,0,2,15,1,0
2021-02-15 03:45:00,Inter,3,Lazio,1,2020,2021,2021,ITA,0,2,15,3,45
2021-02-16 03:45:00,Verona,2,Parma,1,2020,2021,2021,ITA,1,2,16,3,45
2021-02-20 01:30:00,Fiorentina,3,Spezia,0,2020,2021,2021,ITA,5,2,20,1,30
2021-02-20 03:45:00,Cagliari,0,Torino,1,2020,2021,2021,ITA,5,2,20,3,45
2021-02-20 22:00:00,Lazio,1,Sampdoria,0,2020,2021,2021,ITA,5,2,20,22,0
2021-02-21 01:00:00,Genoa,2,Verona,2,2020,2021,2021,ITA,6,2,21,1,0
2021-02-21 03:45:00,Sassuolo,1,Bologna,1,2020,2021,2021,ITA,6,2,21,3,45
2021-02-21 19:30:00,Parma,2,Udinese,2,2020,2021,2021,ITA,6,2,21,19,30
2021-02-21 22:00:00,AC Milan,0,Inter,3,2020,2021,2021,ITA,6,2,21,22,0
2021-02-22 01:00:00,Atalanta,4,Napoli,2,2020,2021,2021,ITA,0,2,22,1,0
